# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.572377248406e+01 
       2.321812845909e-05       1.198434543118e+02 
       3.609173376214e-05       1.824082400186e+02 
       4.904439972694e-05       2.442636181706e+02 
       6.211104704304e-05       3.058633026853e+02 
       7.532746857735e-05       3.675309946043e+02 
       8.873064804491e-05       4.295329707057e+02 
       1.023590926816e-04       4.921073365442e+02 
       1.162531841578e-04       5.554787098292e+02 
       1.304555520066e-04       6.198668156443e+02 
       1.450114738457e-04       6.854922160823e+02 
       1.599693066204e-04       7.525805809630e+02 
       1.753809529236e-04       8.213661681655e+02 
       1.913023661048e-04       8.920948843939e+02 
       2.077940972509e-04       9.650271245995e+02 
       2.249218861033e-04       1.040440507228e+03 
       2.427572963948e-04       1.118632561707e+03 
       2.613783937365e-04       1.199923413019e+03 
       2.808704608154e-04       1.284658409103e+03 
       3.013267399410e-04       1.373210717033e+03 
       3.228491865615e-04       1.465983754152e+03 
       3.455492088575e-04       1.563413379891e+03 
       3.695483575494e-04       1.665969650473e+03 
       3.949789163640e-04       1.774157947421e+03 
       4.219843271948e-04       1.888519157471e+03 
       4.507193653101e-04       2.009628586019e+03 
       4.813499602484e-04       2.138093141143e+03 
       5.140525396193e-04       2.274546339098e+03 
       5.490127597170e-04       2.419640605913e+03 
       5.864234841228e-04       2.574036399458e+03 
       6.264818863381e-04       2.738387817429e+03 
       6.693855925968e-04       2.913324479215e+03 
       7.153278528513e-04       3.099429920175e+03 
       7.644918338936e-04       3.297217114050e+03 
       8.170442633386e-04       3.507102363032e+03 
       8.731288006755e-04       3.729379336402e+03 
       9.328596442615e-04       3.964195398457e+03 
       9.963159659542e-04       4.211532899068e+03 
       1.063537764581e-03       4.471197571322e+03 
       1.134523626239e-03       4.742815976730e+03 
       1.209230679194e-03       5.025842642125e+03 
       1.287576767919e-03       5.319576844039e+03 
       1.369444599257e-03       5.623171036253e+03 
       1.454687391959e-03       5.935680222557e+03 
       1.543135431684e-03       6.256127517189e+03 
       1.634602912099e-03       6.583474085674e+03 
       1.728894515478e-03       6.916673097959e+03 
       1.825811320550e-03       7.254694779601e+03 
       1.925155782887e-03       7.596546287282e+03 
       2.026735681319e-03       7.941286799857e+03 
       2.130367042364e-03       8.288037643039e+03 
       2.235876135455e-03       8.635989106978e+03 
       2.343100676636e-03       8.984402163364e+03 
       2.451890394377e-03       9.332608670402e+03 
       2.562107107073e-03       9.680009402619e+03 
       2.673624445823e-03       1.002607007530e+04 
       2.786327334635e-03       1.037031748536e+04 
       2.900111317649e-03       1.071233410806e+04 
       3.014881802039e-03       1.105175527954e+04 
       3.130553267074e-03       1.138826047227e+04 
       3.247048475047e-03       1.172157335205e+04 
       3.364297708069e-03       1.205145197952e+04 
       3.482238045923e-03       1.237769104219e+04 
       3.600812693636e-03       1.270011091683e+04 
       3.719970362791e-03       1.301856335847e+04 
       3.839664707406e-03       1.333291739230e+04 
       3.959853813072e-03       1.364306716764e+04 
       4.080499736700e-03       1.394892511869e+04 
       4.201568093487e-03       1.425041554034e+04 
       4.323027687306e-03       1.454748441581e+04 
       4.444850180647e-03       1.484007967507e+04 
       4.567009800288e-03       1.512817521669e+04 
       4.689483075068e-03       1.541174058164e+04 
       4.812248602367e-03       1.569076309388e+04 
       4.935286840186e-03       1.596523828325e+04 
       5.058579921982e-03       1.623516121381e+04 
       5.182111491712e-03       1.650053666174e+04 
       5.305866556801e-03       1.676137718285e+04 
       5.429831356981e-03       1.701769474393e+04 
       5.553993247203e-03       1.726951195314e+04 
       5.678340593006e-03       1.751684478677e+04 
       5.802862676925e-03       1.775972473171e+04 
       5.927549614681e-03       1.799818642958e+04 
       6.052392280055e-03       1.823228108424e+04 
       6.177382237450e-03       1.846197416419e+04 
       6.302511681309e-03       1.868731819655e+04 
       6.427773381594e-03       1.890838077195e+04 
       6.553160634691e-03       1.912516545676e+04 
       6.678667219122e-03       1.933759432194e+04 
       6.804287355565e-03       1.954595984332e+04 
       6.930015670697e-03       1.975017667835e+04 
       7.055847164479e-03       1.995029421637e+04 
       7.181777180500e-03       2.014634063331e+04 
       7.307801379070e-03       2.033835643148e+04 
       7.433915712780e-03       2.052639971272e+04 
       7.560116404275e-03       2.071049542893e+04 
       7.686399926014e-03       2.089069045315e+04 
       7.812762981824e-03       2.106702691548e+04 
       7.939202490069e-03       2.123954474617e+04 
       8.065715568266e-03       2.140828218954e+04 
       8.192299519032e-03       2.157328724935e+04 
       8.318951817208e-03       2.173459421805e+04 
       8.445670098061e-03       2.189224393819e+04 
       8.572452146473e-03       2.204627848653e+04 
       8.699295887004e-03       2.219674440974e+04 
       8.826199374762e-03       2.234367932954e+04 
       8.953160787016e-03       2.248711537909e+04 
       9.080178415458e-03       2.262709613852e+04 
       9.207250659091e-03       2.276368697352e+04 
       9.334376017655e-03       2.289689181456e+04 
       9.461553085571e-03       2.302676421918e+04 
       9.588780546346e-03       2.315334160655e+04 
       9.716057167395e-03       2.327666050665e+04 
       9.843381795261e-03       2.339675785306e+04 
       9.970753351188e-03       2.351368689861e+04 
       1.009817082702e-02       2.362746148297e+04 
       1.022563328138e-02       2.373813330392e+04 
       1.035313983621e-02       2.384573259883e+04 
       1.048068967341e-02       2.395027853117e+04 
       1.060828203188e-02       2.405185705504e+04 
       1.073591620467e-02       2.415047964255e+04 
       1.086359153639e-02       2.424613822351e+04 
       1.099130742072e-02       2.433892845084e+04 
       1.111906329821e-02       2.442887422246e+04 
       1.124685865418e-02       2.451595441626e+04 
       1.137469301670e-02       2.460026468609e+04 
       1.150256595483e-02       2.468183571323e+04 
       1.163047707693e-02       2.476065438638e+04 
