# Matter power spectrum P(k) at redshift z=0
# for k=1.03956e-05 to 105.108 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039564326216e-05       5.107545772900e+01 
       2.324005029469e-05       1.107341786068e+02 
       3.612930635646e-05       1.692758603776e+02 
       4.909789395017e-05       2.273584627513e+02 
       6.218086214376e-05       2.853515535582e+02 
       7.541413732903e-05       3.435292581406e+02 
       8.883484385548e-05       4.021241553245e+02 
       1.024816387820e-04       4.613492439191e+02 
       1.163950650215e-04       5.214091582877e+02 
       1.306179271866e-04       5.825068932127e+02 
       1.451956944530e-04       6.448484229484e+02 
       1.601769346991e-04       7.086462672911e+02 
       1.756137840119e-04       7.741224968984e+02 
       1.915624552923e-04       8.415114556371e+02 
       2.080837890606e-04       9.110623587297e+02 
       2.252438485245e-04       9.830418267917e+02 
       2.431145593645e-04       1.057736440328e+03 
       2.617743923103e-04       1.135455294066e+03 
       2.813090831481e-04       1.216532551580e+03 
       3.018123800168e-04       1.301329955271e+03 
       3.233868013263e-04       1.390239225391e+03 
       3.461443789993e-04       1.483684209334e+03 
       3.702073506013e-04       1.582122649899e+03 
       3.957087500454e-04       1.686047335004e+03 
       4.227928299299e-04       1.795986337733e+03 
       4.516152296707e-04       1.912502028331e+03 
       4.823427836876e-04       2.036188401724e+03 
       5.151528454018e-04       2.167666274476e+03 
       5.502319895798e-04       2.307575840129e+03 
       5.877739532335e-04       2.456566090330e+03 
       6.279766909548e-04       2.615280801558e+03 
       6.710384619835e-04       2.784340833605e+03 
       7.171529399524e-04       2.964322996482e+03 
       7.665034443420e-04       3.155736075104e+03 
       8.192565294893e-04       3.358995217161e+03 
       8.755553158409e-04       3.574396415189e+03 
       9.355130808047e-04       3.802093297156e+03 
       9.992077074552e-04       4.042078632662e+03 
       1.066677584940e-03       4.294172852218e+03 
       1.137919445953e-03       4.558021450982e+03 
       1.212888420989e-03       4.833101783820e+03 
       1.291500321849e-03       5.118739250109e+03 
       1.373635893824e-03       5.414109498323e+03 
       1.459146555707e-03       5.718309954751e+03 
       1.547861021377e-03       6.030388955225e+03 
       1.639592180130e-03       6.349339100739e+03 
       1.734143690255e-03       6.674144249827e+03 
       1.831315878060e-03       7.003803671720e+03 
       1.930910693739e-03       7.337351634282e+03 
       2.032735623935e-03       7.673872434285e+03 
       2.136606578475e-03       8.012508432457e+03 
       2.242349848222e-03       8.352470420742e+03 
       2.349803274462e-03       8.693035790717e+03 
       2.458816784956e-03       9.033550548270e+03 
       2.569252446772e-03       9.373427881505e+03 
       2.680984169399e-03       9.712141869303e+03 
       2.793897169799e-03       1.004922841444e+04 
       2.907887288376e-03       1.038427512073e+04 
       3.022860223795e-03       1.071692115529e+04 
       3.138730736511e-03       1.104685012179e+04 
       3.255421856120e-03       1.137378644265e+04 
       3.372864116051e-03       1.169748922549e+04 
       3.490994830399e-03       1.201775293565e+04 
       3.609757421254e-03       1.233439739722e+04 
       3.729100800300e-03       1.264727249111e+04 
       3.848978805341e-03       1.295624538579e+04 
       3.969349690293e-03       1.326120785225e+04 
       4.090175665932e-03       1.356206982553e+04 
       4.211422487893e-03       1.385875218077e+04 
       4.333059088119e-03       1.415119715942e+04 
       4.455057245825e-03       1.443935111240e+04 
       4.577391294155e-03       1.472318322040e+04 
       4.700037858874e-03       1.500265800669e+04 
       4.822975625718e-03       1.527776269555e+04 
       4.946185133258e-03       1.554848412895e+04 
       5.069648588471e-03       1.581481023508e+04 
       5.193349702449e-03       1.607676160688e+04 
       5.317273543968e-03       1.633432657266e+04 
       5.441406408876e-03       1.658752085962e+04 
       5.565735703503e-03       1.683636309317e+04 
       5.690249840472e-03       1.708086387043e+04 
       5.814938145516e-03       1.732105282882e+04 
       5.939790774030e-03       1.755696023411e+04 
       6.064798636269e-03       1.778863321889e+04 
       6.189953330213e-03       1.801603411487e+04 
       6.315247081240e-03       1.823921285277e+04 
       6.440672687857e-03       1.845823384973e+04 
       6.566223472809e-03       1.867308920265e+04 
       6.691893238994e-03       1.888372274421e+04 
       6.817676229653e-03       1.909039823524e+04 
       6.943567092379e-03       1.929303443043e+04 
       7.069560846537e-03       1.949167924477e+04 
       7.195652853739e-03       1.968635810973e+04 
       7.321838791060e-03       1.987710653718e+04 
       7.448114626700e-03       2.006398299755e+04 
       7.574476597851e-03       2.024700851791e+04 
       7.700921190550e-03       2.042622643506e+04 
       7.827445121308e-03       2.060167798389e+04 
       7.954045320349e-03       2.077340200722e+04 
       8.080718916303e-03       2.094142599311e+04 
       8.207463222198e-03       2.110580644954e+04 
       8.334275722645e-03       2.126656542694e+04 
       8.461154062096e-03       2.142375337521e+04 
       8.588096034068e-03       2.157740144814e+04 
       8.715099571251e-03       2.172755521335e+04 
       8.842162736423e-03       2.187424624256e+04 
       8.969283714084e-03       2.201752071702e+04 
       9.096460802765e-03       2.215739813940e+04 
       9.223692407934e-03       2.229395112525e+04 
       9.350977035456e-03       2.242719682354e+04 
       9.478313285557e-03       2.255717312901e+04 
       9.605699847255e-03       2.268390240340e+04 
       9.733135493202e-03       2.280744496355e+04 
       9.860619074926e-03       2.292781372596e+04 
       9.988149518413e-03       2.304507489327e+04 
       1.011572582003e-02       2.315923705681e+04 
       1.024334704274e-02       2.327035677594e+04 
       1.037101231259e-02       2.337844546885e+04 
       1.049872081545e-02       2.348353961420e+04 
       1.062647179401e-02       2.358569863196e+04 
       1.075426454495e-02       2.368496111416e+04 
       1.088209841637e-02       2.378131123591e+04 
       1.100997280531e-02       2.387482891202e+04 
       1.113788715558e-02       2.396554090914e+04 
       1.126584095557e-02       2.405344606461e+04 
       1.139383373640e-02       2.413861641687e+04 
       1.152186507004e-02       2.422108658833e+04 
       1.164993456766e-02       2.430084740495e+04 
       1.177804187805e-02       2.437797069382e+04 
       1.190618668615e-02       2.445247002213e+04 
       1.203436871174e-02       2.452437277198e+04 
       1.216258770813e-02       2.459369689677e+04 
       1.229084346102e-02       2.466053432182e+04 
       1.241913578737e-02       2.472484766643e+04 
       1.254746453446e-02       2.478669324340e+04 
       1.267582957886e-02       2.484608919422e+04 
       1.280423082565e-02       2.490307907655e+04 
       1.293266820753e-02       2.495770966520e+04 
       1.306114168415e-02       2.500997865891e+04 
       1.318965124134e-02       2.505992859014e+04 
       1.331819689054e-02       2.510757008601e+04 
       1.344677866819e-02       2.515295973449e+04 
       1.357539663515e-02       2.519609826341e+04 
       1.370405087627e-02       2.523703479068e+04 
       1.383274149989e-02       2.527577955729e+04 
       1.396146863745e-02       2.531237840077e+04 
       1.409023244309e-02       2.534684049946e+04 
       1.421903309332e-02       2.537920644349e+04 
       1.434787078674e-02       2.540949453451e+04 
       1.447674574373e-02       2.543773829020e+04 
       1.460565820623e-02       2.546395224591e+04 
       1.473460843750e-02       2.548818155989e+04 
       1.486359672198e-02       2.551041623045e+04 
       1.499262336509e-02       2.553071271003e+04 
       1.512168869313e-02       2.554909790499e+04 
       1.525079305316e-02       2.556557766803e+04 
       1.537993681292e-02       2.558018891333e+04 
       1.550912036077e-02       2.559295480040e+04 
       1.563834410565e-02       2.560390418792e+04 
       1.576760847710e-02       2.561304788973e+04 
       1.589691392520e-02       2.562040729646e+04 
       1.602626092067e-02       2.562604384504e+04 
       1.615564995487e-02       2.562992607113e+04 
       1.628508153989e-02       2.563212681381e+04 
       1.641455620863e-02       2.563262351497e+04 
       1.654407451488e-02       2.563147744585e+04 
       1.667363703351e-02       2.562869206236e+04 
       1.680324436053e-02       2.562431746727e+04 
       1.693289711331e-02       2.561833738977e+04 
       1.706259593071e-02       2.561080199661e+04 
       1.719234147332e-02       2.560169973716e+04 
       1.732213442364e-02       2.559108195207e+04 
       1.745197548630e-02       2.557899290649e+04 
       1.758186538833e-02       2.556541045176e+04 
       1.771180487940e-02       2.555037575733e+04 
       1.784179473212e-02       2.553388805480e+04 
       1.797183574230e-02       2.551600887498e+04 
       1.810192872930e-02       2.549672839857e+04 
       1.823207453632e-02       2.547605486519e+04 
       1.836227403076e-02       2.545408605252e+04 
       1.849252810460e-02       2.543072872447e+04 
       1.862283767473e-02       2.540610707216e+04 
       1.875320368340e-02       2.538015977457e+04 
       1.888362709859e-02       2.535297941282e+04 
       1.901410891445e-02       2.532452403486e+04 
       1.914465015175e-02       2.529486027605e+04 
       1.927525185834e-02       2.526396238967e+04 
       1.940591510966e-02       2.523189489499e+04 
       1.953664100918e-02       2.519863204253e+04 
       1.966743068897e-02       2.516424915739e+04 
       1.979828531022e-02       2.512872129688e+04 
       1.992920606380e-02       2.509208108620e+04 
       2.006019417083e-02       2.505435795645e+04 
       2.019125088328e-02       2.501550039130e+04 
       2.032237748458e-02       2.497565569127e+04 
       2.045357529029e-02       2.493472204153e+04 
       2.058484564870e-02       2.489282305016e+04 
       2.071618994156e-02       2.484988768035e+04 
       2.084760958478e-02       2.480600773838e+04 
       2.097910602911e-02       2.476109488676e+04 
       2.111068076094e-02       2.471523377195e+04 
       2.124233530306e-02       2.466849969747e+04 
       2.137407121544e-02       2.462082019437e+04 
       2.150589009606e-02       2.457224349775e+04 
       2.163779358178e-02       2.452277752961e+04 
       2.176978334918e-02       2.447244327191e+04 
       2.190186111549e-02       2.442129358885e+04 
       2.203402863953e-02       2.436928621097e+04 
       2.216628772264e-02       2.431646674890e+04 
       2.229864020967e-02       2.426286692579e+04 
       2.243108799006e-02       2.420846646987e+04 
       2.256363299881e-02       2.415330959605e+04 
       2.269627721764e-02       2.409736566457e+04 
       2.282902267606e-02       2.404075816551e+04 
       2.296187145255e-02       2.398337581224e+04 
       2.309482567575e-02       2.392533395408e+04 
       2.322788752570e-02       2.386653750873e+04 
       2.336105923508e-02       2.380706325863e+04 
       2.349434309054e-02       2.374707379096e+04 
       2.362774143405e-02       2.368631998283e+04 
       2.376125666427e-02       2.362495057155e+04 
       2.389489123804e-02       2.356298767984e+04 
       2.402864767179e-02       2.350041430351e+04 
       2.416252854313e-02       2.343722520018e+04 
       2.429653649242e-02       2.337350561761e+04 
       2.443067422437e-02       2.330924666109e+04 
       2.456494450974e-02       2.324436780570e+04 
       2.469935018711e-02       2.317899891410e+04 
       2.483389416462e-02       2.311311912797e+04 
       2.496857942188e-02       2.304672837168e+04 
       2.510340901184e-02       2.297985703076e+04 
       2.523838606280e-02       2.291244897938e+04 
       2.537351378046e-02       2.284461915091e+04 
       2.550879544998e-02       2.277638410213e+04 
       2.564423443826e-02       2.270767630750e+04 
       2.577983419610e-02       2.263851059958e+04 
       2.591559826063e-02       2.256890816002e+04 
       2.605153025766e-02       2.249895912766e+04 
       2.618763390420e-02       2.242867323868e+04 
       2.632391301107e-02       2.235784552822e+04 
       2.646037148556e-02       2.228672065854e+04 
       2.659701333420e-02       2.221525837954e+04 
       2.673384266564e-02       2.214346693261e+04 
       2.687086369364e-02       2.207129414610e+04 
       2.700808074012e-02       2.199881736405e+04 
       2.714549823836e-02       2.192608536552e+04 
       2.728312073633e-02       2.185293427881e+04 
       2.742095290009e-02       2.177957971721e+04 
       2.755899951739e-02       2.170595937649e+04 
       2.769726550130e-02       2.163194560474e+04 
       2.783575589409e-02       2.155780050860e+04 
       2.797447587115e-02       2.148325591110e+04 
       2.811343074517e-02       2.140859364889e+04 
       2.825262597037e-02       2.133369580739e+04 
       2.839206714698e-02       2.125855064720e+04 
       2.853176002582e-02       2.118313038105e+04 
       2.867171051313e-02       2.110754184157e+04 
       2.881192467556e-02       2.103180593229e+04 
       2.895240874532e-02       2.095589109561e+04 
       2.909316912560e-02       2.087973592381e+04 
       2.923421239617e-02       2.080344098725e+04 
       2.937554531924e-02       2.072700075117e+04 
       2.951717484552e-02       2.065037853516e+04 
       2.965910812054e-02       2.057362370253e+04 
       2.980135249127e-02       2.049666094235e+04 
       2.994391551298e-02       2.041968851176e+04 
       3.008680495641e-02       2.034254788354e+04 
       3.023002881523e-02       2.026526386867e+04 
       3.037359531383e-02       2.018794493605e+04 
       3.051751291550e-02       2.011045274859e+04 
       3.066179033082e-02       2.003291524009e+04 
       3.080643652665e-02       1.995523569901e+04 
       3.095146073528e-02       1.987756185202e+04 
       3.109687246419e-02       1.979971772865e+04 
       3.124268150612e-02       1.972186086866e+04 
       3.138889794970e-02       1.964386461543e+04 
       3.153553219047e-02       1.956593901101e+04 
       3.168259494253e-02       1.948791374531e+04 
       3.183009725065e-02       1.940986068516e+04 
       3.197805050300e-02       1.933172931896e+04 
       3.212646644449e-02       1.925360639612e+04 
       3.227535719073e-02       1.917539728173e+04 
       3.242473524274e-02       1.909726392087e+04 
       3.257461350229e-02       1.901903955788e+04 
       3.272500528812e-02       1.894082360135e+04 
       3.287592435289e-02       1.886256954208e+04 
       3.302738490103e-02       1.878426886405e+04 
       3.317940160755e-02       1.870615737315e+04 
       3.333198963773e-02       1.862786777394e+04 
       3.348516466795e-02       1.854963182508e+04 
       3.363894290760e-02       1.847142020153e+04 
       3.379334112213e-02       1.839328146227e+04 
       3.394837665735e-02       1.831510752364e+04 
       3.410406746519e-02       1.823691969055e+04 
       3.426043213069e-02       1.815882640509e+04 
       3.441748990068e-02       1.808071562781e+04 
       3.457526071400e-02       1.800267673177e+04 
       3.473376523346e-02       1.792464691073e+04 
       3.489302487971e-02       1.784661897618e+04 
       3.505306186704e-02       1.776869185399e+04 
