# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 126.759 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116729914813e+01 
       2.321812845909e-05       1.108985036823e+02 
       3.609173376214e-05       1.695112884483e+02 
       4.904439972694e-05       2.276638178209e+02 
       6.211104704304e-05       2.857256841932e+02 
       7.532746857735e-05       3.439709417617e+02 
       8.873064804492e-05       4.026320525172e+02 
       1.023590926816e-04       4.619218460506e+02 
       1.162531841578e-04       5.220447480764e+02 
       1.304555520066e-04       5.832034997240e+02 
       1.450114738458e-04       6.456037739162e+02 
       1.599693066204e-04       7.094577388748e+02 
       1.753809529236e-04       7.749870534935e+02 
       1.913023661048e-04       8.424255824029e+02 
       2.077940972509e-04       9.120219817131e+02 
       2.249218861034e-04       9.840422353904e+02 
       2.427572963948e-04       1.058772184234e+03 
       2.613783937365e-04       1.136520077718e+03 
       2.808704608154e-04       1.217619115981e+03 
       3.013267399410e-04       1.302429950830e+03 
       3.228491865615e-04       1.391343071625e+03 
       3.455492088576e-04       1.484780961622e+03 
       3.695483575494e-04       1.583199853959e+03 
       3.949789163640e-04       1.687090898580e+03 
       4.219843271948e-04       1.796980419758e+03 
       4.507193653102e-04       1.913428961054e+03 
       4.813499602484e-04       2.037028671328e+03 
       5.140525396193e-04       2.168398571444e+03 
       5.490127597171e-04       2.308177216246e+03 
       5.864234841229e-04       2.457012249910e+03 
       6.264818863382e-04       2.615546529099e+03 
       6.693855925968e-04       2.784400613883e+03 
       7.153278528514e-04       2.964151783294e+03 
       7.644918338936e-04       3.155310236853e+03 
       8.170442633386e-04       3.358293579744e+03 
       8.731288006756e-04       3.573401354482e+03 
       9.328596442615e-04       3.800791738867e+03 
       9.963159659543e-04       4.040462911520e+03 
       1.063537764581e-03       4.292241277532e+03 
       1.134523626239e-03       4.555778437256e+03 
       1.209230679194e-03       4.830557615982e+03 
       1.287576767919e-03       5.115909441798e+03 
       1.369444599257e-03       5.411057229166e+03 
       1.454687391959e-03       5.715126010885e+03 
       1.543135431684e-03       6.027116950504e+03 
       1.634602912099e-03       6.346024495344e+03 
       1.728894515478e-03       6.670833106432e+03 
       1.825811320550e-03       7.000541594884e+03 
       1.925155782887e-03       7.334182649547e+03 
       2.026735681319e-03       7.670838129831e+03 
       2.130367042364e-03       8.009648811212e+03 
       2.235876135455e-03       8.349821104386e+03 
       2.343100676636e-03       8.690629824042e+03 
       2.451890394377e-03       9.031417791839e+03 
       2.562107107073e-03       9.371594046133e+03 
       2.673624445823e-03       9.710631227278e+03 
       2.786327334635e-03       1.004806029230e+04 
       2.900111317649e-03       1.038346803381e+04 
       3.014881802039e-03       1.071649000324e+04 
       3.130553267074e-03       1.104680986683e+04 
       3.247048475047e-03       1.137414221004e+04 
       3.364297708069e-03       1.169825302982e+04 
       3.482238045924e-03       1.201893125970e+04 
       3.600812693636e-03       1.233599674307e+04 
       3.719970362791e-03       1.264929551136e+04 
       3.839664707406e-03       1.295869552747e+04 
       3.959853813072e-03       1.326408815515e+04 
       4.080499736700e-03       1.356537997503e+04 
       4.201568093487e-03       1.386249319706e+04 
       4.323027687306e-03       1.415536689400e+04 
       4.444850180647e-03       1.444395163889e+04 
       4.567009800288e-03       1.472820885351e+04 
       4.689483075068e-03       1.500810888829e+04 
       4.812248602367e-03       1.528363519145e+04 
       4.935286840186e-03       1.555477535644e+04 
       5.058579921982e-03       1.582152342443e+04 
       5.182111491712e-03       1.608387901976e+04 
       5.305866556801e-03       1.634185143714e+04 
       5.429831356981e-03       1.659545176135e+04 
       5.553993247203e-03       1.684469115792e+04 
       5.678340593007e-03       1.708958964309e+04 
       5.802862676925e-03       1.733017014700e+04 
       5.927549614682e-03       1.756646181151e+04 
       6.052392280055e-03       1.779847379437e+04 
       6.177382237451e-03       1.802623003964e+04 
       6.302511681309e-03       1.824977794241e+04 
       6.427773381594e-03       1.846913422388e+04 
       6.553160634691e-03       1.868434766863e+04 
       6.678667219123e-03       1.889545379381e+04 
       6.804287355565e-03       1.910248399326e+04 
       6.930015670697e-03       1.930547395132e+04 
       7.055847164480e-03       1.950446155375e+04 
       7.181777180500e-03       1.969948551034e+04 
       7.307801379070e-03       1.989057914951e+04 
       7.433915712780e-03       2.007778635384e+04 
       7.560116404275e-03       2.026114065791e+04 
       7.686399926014e-03       2.044068715430e+04 
       7.812762981825e-03       2.061645948257e+04 
       7.939202490069e-03       2.078849838776e+04 
       8.065715568266e-03       2.095684780810e+04 
       8.192299519033e-03       2.112153451793e+04 
       8.318951817208e-03       2.128260421967e+04 
       8.445670098062e-03       2.144009360789e+04 
       8.572452146474e-03       2.159404470303e+04 
       8.699295887004e-03       2.174449944139e+04 
       8.826199374763e-03       2.189148707603e+04 
       8.953160787016e-03       2.203505141745e+04 
       9.080178415459e-03       2.217523260509e+04 
       9.207250659091e-03       2.231206777988e+04 
       9.334376017655e-03       2.244559117852e+04 
       9.461553085572e-03       2.257584056004e+04 
       9.588780546346e-03       2.270285746001e+04 
       9.716057167395e-03       2.282666658868e+04 
       9.843381795262e-03       2.294732393515e+04 
       9.970753351189e-03       2.306484702422e+04 
       1.009817082702e-02       2.317928308303e+04 
       1.022563328138e-02       2.329066201855e+04 
       1.035313983621e-02       2.339901969480e+04 
       1.048068967341e-02       2.350437667529e+04 
       1.060828203188e-02       2.360680370561e+04 
       1.073591620467e-02       2.370632127243e+04 
       1.086359153639e-02       2.380293696691e+04 
       1.099130742072e-02       2.389671070540e+04 
       1.111906329821e-02       2.398767386822e+04 
       1.124685865418e-02       2.407583074540e+04 
       1.137469301670e-02       2.416125960143e+04 
       1.150256595483e-02       2.424395881155e+04 
       1.163047707693e-02       2.432397695263e+04 
       1.175842602905e-02       2.440134119306e+04 
       1.188641249350e-02       2.447607808057e+04 
       1.201443618746e-02       2.454822164136e+04 
       1.214249686173e-02       2.461780543497e+04 
       1.227059429957e-02       2.468485935636e+04 
       1.239872831558e-02       2.474943368986e+04 
       1.252689875467e-02       2.481150169476e+04 
       1.265510549116e-02       2.487115413209e+04 
       1.278334842789e-02       2.492838879874e+04 
       1.291162749538e-02       2.498324869426e+04 
       1.303994265110e-02       2.503575374804e+04 
       1.316829387881e-02       2.508592721125e+04 
       1.329668118784e-02       2.513381730987e+04 
       1.342510461258e-02       2.517942820094e+04 
       1.355356421189e-02       2.522281424364e+04 
       1.368206006859e-02       2.526396790111e+04 
       1.381059228906e-02       2.530295998173e+04 
       1.393916100277e-02       2.533978134213e+04 
       1.406776636193e-02       2.537447678086e+04 
       1.419640854111e-02       2.540707590365e+04 
       1.432508773700e-02       2.543760364106e+04 
       1.445380416806e-02       2.546607307035e+04 
       1.458255807434e-02       2.549250927760e+04 
       1.471134971720e-02       2.551695475214e+04 
       1.484017937920e-02       2.553942859771e+04 
       1.496904736387e-02       2.555995491086e+04 
       1.509795399561e-02       2.557856873911e+04 
       1.522689961960e-02       2.559527504237e+04 
       1.535588460169e-02       2.561011274263e+04 
       1.548490932832e-02       2.562310237768e+04 
       1.561397420656e-02       2.563427129567e+04 
       1.574307966400e-02       2.564364904040e+04 
       1.587222614882e-02       2.565124020927e+04 
       1.600141412980e-02       2.565709222363e+04 
       1.613064409636e-02       2.566120458880e+04 
       1.625991655862e-02       2.566361752595e+04 
       1.638923204749e-02       2.566435000272e+04 
       1.651859111480e-02       2.566342416751e+04 
       1.664799433338e-02       2.566088336639e+04 
       1.677744229721e-02       2.565671551500e+04 
       1.690693562161e-02       2.565099041029e+04 
       1.703647494338e-02       2.564365057611e+04 
       1.716606092099e-02       2.563477761446e+04 
       1.729569423481e-02       2.562439822967e+04 
       1.742537558732e-02       2.561250143309e+04 
       1.755510570338e-02       2.559914758014e+04 
       1.768488533045e-02       2.558433083037e+04 
       1.781471523888e-02       2.556807415898e+04 
       1.794459622222e-02       2.555040604831e+04 
       1.807452909752e-02       2.553135105038e+04 
       1.820451470563e-02       2.551091573994e+04 
       1.833455391158e-02       2.548911908215e+04 
       1.846464760492e-02       2.546602755065e+04 
       1.859479670009e-02       2.544160974047e+04 
       1.872500213684e-02       2.541591789522e+04 
       1.885526488061e-02       2.538893631079e+04 
       1.898558592297e-02       2.536067244002e+04 
       1.911596628205e-02       2.533123891336e+04 
       1.924640700304e-02       2.530055254548e+04 
       1.937690915863e-02       2.526870318040e+04 
       1.950747384953e-02       2.523570512715e+04 
       1.963810220498e-02       2.520151806243e+04 
       1.976879538329e-02       2.516621379968e+04 
       1.989955457238e-02       2.512978716239e+04 
       2.003038099040e-02       2.509224898488e+04 
       2.016127588626e-02       2.505366549987e+04 
       2.029224054028e-02       2.501404243860e+04 
       2.042327626483e-02       2.497330752925e+04 
       2.055438440499e-02       2.493162581386e+04 
       2.068556633919e-02       2.488886599337e+04 
       2.081682347996e-02       2.484521057040e+04 
       2.094815727463e-02       2.480052018200e+04 
       2.107956920606e-02       2.475490827339e+04 
       2.121106079346e-02       2.470834565723e+04 
       2.134263359313e-02       2.466089232542e+04 
       2.147428919931e-02       2.461251327670e+04 
       2.160602924503e-02       2.456327678795e+04 
       2.173785540298e-02       2.451316931610e+04 
       2.186976938640e-02       2.446224007028e+04 
       2.200177295002e-02       2.441038082819e+04 
       2.213386789100e-02       2.435778484680e+04 
       2.226605604995e-02       2.430442224346e+04 
       2.239833931193e-02       2.425020288137e+04 
       2.253071960749e-02       2.419527581231e+04 
       2.266319891380e-02       2.413957298800e+04 
       2.279577925570e-02       2.408314690220e+04 
       2.292846270690e-02       2.402597621448e+04 
       2.306125139117e-02       2.396813837040e+04 
       2.319414748354e-02       2.390954654806e+04 
       2.332715321158e-02       2.385030117848e+04 
       2.346027085672e-02       2.379042593788e+04 
       2.359350275556e-02       2.372987475307e+04 
       2.372685130130e-02       2.366873046705e+04 
       2.386031894514e-02       2.360695474739e+04 
       2.399390819777e-02       2.354457324018e+04 
       2.412762163093e-02       2.348164047637e+04 
       2.426146187892e-02       2.341810720295e+04 
       2.439543164029e-02       2.335400697243e+04 
       2.452953367946e-02       2.328932039589e+04 
       2.466377082853e-02       2.322414741252e+04 
       2.479814598899e-02       2.315845341458e+04 
       2.493266213362e-02       2.309228331883e+04 
       2.506732230841e-02       2.302560284714e+04 
       2.520212963448e-02       2.295841490495e+04 
       2.533708731018e-02       2.289073603045e+04 
       2.547219861317e-02       2.282264351837e+04 
       2.560746690259e-02       2.275410539653e+04 
       2.574289562134e-02       2.268517401582e+04 
       2.587848829840e-02       2.261578621661e+04 
       2.601424855124e-02       2.254597573511e+04 
       2.615018008833e-02       2.247578884804e+04 
       2.628628671169e-02       2.240522999467e+04 
       2.642257231958e-02       2.233430213336e+04 
       2.655904090928e-02       2.226303817086e+04 
       2.669569657994e-02       2.219134674430e+04 
       2.683254353554e-02       2.211935857140e+04 
       2.696958608796e-02       2.204708458180e+04 
       2.710682866020e-02       2.197449636041e+04 
       2.724427578962e-02       2.190157874749e+04 
       2.738193213142e-02       2.182834204760e+04 
