# Matter power spectrum P(k) at redshift z=0
# for k=1.03892e-05 to 104.924 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038922642939e-05       5.116730365444e+01 
       2.321812845909e-05       1.108985117021e+02 
       3.609173376214e-05       1.695113043054e+02 
       4.904439972694e-05       2.276638484468e+02 
       6.211104704304e-05       2.857257440336e+02 
       7.532746857735e-05       3.439710497375e+02 
       8.873064804491e-05       4.026322273087e+02 
       1.023590926816e-04       4.619221131128e+02 
       1.162531841578e-04       5.220451374081e+02 
       1.304555520066e-04       5.832040470439e+02 
       1.450114738457e-04       6.456045231764e+02 
       1.599693066204e-04       7.094587412123e+02 
       1.753809529236e-04       7.749883692282e+02 
       1.913023661048e-04       8.424272845996e+02 
       2.077940972509e-04       9.120241569942e+02 
       2.249218861033e-04       9.840449856101e+02 
       2.427572963948e-04       1.058775630054e+03 
       2.613783937365e-04       1.136524368408e+03 
       2.808704608154e-04       1.217624425172e+03 
       3.013267399410e-04       1.302436489234e+03 
       3.228491865615e-04       1.391351091478e+03 
       3.455492088575e-04       1.484790768030e+03 
       3.695483575494e-04       1.583211817499e+03 
       3.949789163640e-04       1.687105467745e+03 
       4.219843271948e-04       1.796998139604e+03 
       4.507193653101e-04       1.913450497152e+03 
       4.813499602484e-04       2.037054833691e+03 
       5.140525396193e-04       2.168430352941e+03 
       5.490127597170e-04       2.308215829481e+03 
       5.864234841228e-04       2.457059177304e+03 
       6.264818863381e-04       2.615603588430e+03 
       6.693855925968e-04       2.784470020647e+03 
       7.153278528513e-04       2.964236246458e+03 
       7.644918338936e-04       3.155413042101e+03 
       8.170442633386e-04       3.358418701930e+03 
       8.731288006755e-04       3.573553595104e+03 
       9.328596442615e-04       3.800976841500e+03 
       9.963159659542e-04       4.040687709428e+03 
       1.063537764581e-03       4.292513843360e+03 
       1.134523626239e-03       4.556108239694e+03 
       1.209230679194e-03       4.830955642387e+03 
       1.287576767919e-03       5.116388358155e+03 
       1.369444599257e-03       5.411594192280e+03 
       1.454687391959e-03       5.715663924259e+03 
       1.543135431684e-03       6.027654600229e+03 
       1.634602912099e-03       6.346560880395e+03 
       1.728894515478e-03       6.671367312937e+03 
       1.825811320550e-03       7.001072856647e+03 
       1.925155782887e-03       7.334710435275e+03 
       2.026735681319e-03       7.671361872845e+03 
       2.130367042364e-03       8.010168014039e+03 
       2.235876135455e-03       8.350335618911e+03 
       2.343100676636e-03       8.691139291066e+03 
       2.451890394377e-03       9.031921902814e+03 
       2.562107107073e-03       9.372092878173e+03 
       2.673624445823e-03       9.711124499004e+03 
       2.786327334635e-03       1.004854829128e+04 
       2.900111317649e-03       1.038394988799e+04 
       3.014881802039e-03       1.071696637433e+04 
       3.130553267074e-03       1.104727788716e+04 
       3.247048475047e-03       1.137460771121e+04 
       3.364297708069e-03       1.169871280430e+04 
       3.482238045923e-03       1.201938598280e+04 
       3.600812693636e-03       1.233644531775e+04 
       3.719970362791e-03       1.264973966574e+04 
       3.839664707406e-03       1.295913496846e+04 
       3.959853813072e-03       1.326452188065e+04 
       4.080499736700e-03       1.356580912332e+04 
       4.201568093487e-03       1.386291723026e+04 
       4.323027687306e-03       1.415578809975e+04 
       4.444850180647e-03       1.444436578277e+04 
       4.567009800288e-03       1.472861984926e+04 
       4.689483075068e-03       1.500851586645e+04 
       4.812248602367e-03       1.528403693974e+04 
       4.935286840186e-03       1.555517438467e+04 
       5.058579921982e-03       1.582191926816e+04 
       5.182111491712e-03       1.608427231334e+04 
       5.305866556801e-03       1.634224201182e+04 
       5.429831356981e-03       1.659583645746e+04 
       5.553993247203e-03       1.684507428777e+04 
       5.678340593006e-03       1.708996783126e+04 
       5.802862676925e-03       1.733054469742e+04 
       5.927549614681e-03       1.756683572295e+04 
       6.052392280055e-03       1.779888805431e+04 
       6.177382237450e-03       1.802666526955e+04 
       6.302511681309e-03       1.825021604126e+04 
       6.427773381594e-03       1.846960388788e+04 
       6.553160634691e-03       1.868482991310e+04 
       6.678667219122e-03       1.889581566957e+04 
       6.804287355565e-03       1.910284473835e+04 
       6.930015670697e-03       1.930583165630e+04 
       7.055847164479e-03       1.950482268939e+04 
       7.181777180500e-03       1.969984345466e+04 
       7.307801379070e-03       1.989093170025e+04 
       7.433915712780e-03       2.007814246959e+04 
       7.560116404275e-03       2.026149846233e+04 
       7.686399926014e-03       2.044104389032e+04 
       7.812762981824e-03       2.061681839722e+04 
       7.939202490069e-03       2.078885954092e+04 
       8.065715568266e-03       2.095720329203e+04 
       8.192299519032e-03       2.112189523584e+04 
       8.318951817208e-03       2.128296759396e+04 
       8.445670098061e-03       2.144045905517e+04 
       8.572452146473e-03       2.159440957110e+04 
       8.699295887004e-03       2.174486352476e+04 
       8.826199374762e-03       2.189185660759e+04 
       8.953160787016e-03       2.203541917882e+04 
       9.080178415458e-03       2.217559285778e+04 
       9.207250659091e-03       2.231244066348e+04 
       9.334376017655e-03       2.244596544521e+04 
       9.461553085571e-03       2.257621873071e+04 
       9.588780546346e-03       2.270323626960e+04 
       9.716057167395e-03       2.282705297652e+04 
       9.843381795261e-03       2.294770419720e+04 
       9.970753351188e-03       2.306524131979e+04 
       1.009817082702e-02       2.317967710731e+04 
       1.022563328138e-02       2.329106148900e+04 
       1.035313983621e-02       2.339942337356e+04 
       1.048068967341e-02       2.350478082883e+04 
       1.060828203188e-02       2.360721749980e+04 
       1.073591620467e-02       2.370674396872e+04 
       1.086359153639e-02       2.380335164850e+04 
       1.099130742072e-02       2.389713379930e+04 
       1.111906329821e-02       2.398811327298e+04 
       1.124685865418e-02       2.407626872844e+04 
       1.137469301670e-02       2.416169351843e+04 
       1.150256595483e-02       2.424441722386e+04 
       1.163047707693e-02       2.432442642526e+04 
       1.175842602905e-02       2.440180916861e+04 
       1.188641249350e-02       2.447655788085e+04 
       1.201443618746e-02       2.454871255371e+04 
       1.214249686173e-02       2.461830613434e+04 
       1.227059429957e-02       2.468537787314e+04 
       1.239872831558e-02       2.474994860225e+04 
       1.252689875467e-02       2.481203780333e+04 
       1.265510549116e-02       2.487168371805e+04 
       1.278334842789e-02       2.492893444671e+04 
       1.291162749538e-02       2.498379080309e+04 
       1.303994265110e-02       2.503631096231e+04 
       1.316829387881e-02       2.508649800762e+04 
       1.329668118784e-02       2.513439868941e+04 
       1.342510461258e-02       2.518002076667e+04 
       1.355356421189e-02       2.522341349083e+04 
       1.368206006859e-02       2.526458247772e+04 
       1.381059228906e-02       2.530359084707e+04 
       1.393916100277e-02       2.534042103963e+04 
       1.406776636193e-02       2.537512710846e+04 
       1.419640854111e-02       2.540773959991e+04 
       1.432508773700e-02       2.543828059367e+04 
       1.445380416806e-02       2.546675416466e+04 
       1.458255807434e-02       2.549321305613e+04 
       1.471134971720e-02       2.551767224278e+04 
       1.484017937920e-02       2.554016100793e+04 
       1.496904736387e-02       2.556070275876e+04 
       1.509795399561e-02       2.557932317668e+04 
       1.522689961960e-02       2.559604690299e+04 
       1.535588460168e-02       2.561090280356e+04 
       1.548490932832e-02       2.562390994833e+04 
       1.561397420656e-02       2.563509336440e+04 
       1.574307966400e-02       2.564448415234e+04 
       1.587222614882e-02       2.565210758594e+04 
       1.600141412980e-02       2.565796476344e+04 
       1.613064409636e-02       2.566209162673e+04 
       1.625991655862e-02       2.566452616484e+04 
       1.638923204749e-02       2.566527876780e+04 
       1.651859111480e-02       2.566437044033e+04 
       1.664799433338e-02       2.566184683009e+04 
       1.677744229721e-02       2.565769632806e+04 
       1.690693562161e-02       2.565198405658e+04 
       1.703647494338e-02       2.564467009885e+04 
       1.716606092099e-02       2.563580717186e+04 
       1.729569423481e-02       2.562544577685e+04 
       1.742537558732e-02       2.561356687309e+04 
       1.755510570338e-02       2.560024376173e+04 
       1.768488533045e-02       2.558543769319e+04 
       1.781471523888e-02       2.556921524293e+04 
       1.794459622222e-02       2.555157891878e+04 
       1.807452909752e-02       2.553251514525e+04 
       1.820451470563e-02       2.551210429441e+04 
       1.833455391158e-02       2.549036579562e+04 
       1.846464760492e-02       2.546728155746e+04 
       1.859479670009e-02       2.544287747570e+04 
       1.872500213684e-02       2.541721066367e+04 
       1.885526488061e-02       2.539025710738e+04 
       1.898558592297e-02       2.536204402439e+04 
       1.911596628205e-02       2.533261444451e+04 
       1.924640700304e-02       2.530196715294e+04 
       1.937690915863e-02       2.527012956120e+04 
       1.950747384953e-02       2.523713640287e+04 
       1.963810220498e-02       2.520298164519e+04 
       1.976879538328e-02       2.516770311102e+04 
       1.989955457238e-02       2.513131407661e+04 
       2.003038099040e-02       2.509378866330e+04 
       2.016127588626e-02       2.505525906450e+04 
       2.029224054028e-02       2.501563633853e+04 
       2.042327626483e-02       2.497493681427e+04 
       2.055438440499e-02       2.493325761523e+04 
       2.068556633919e-02       2.489057860765e+04 
       2.081682347996e-02       2.484692434309e+04 
       2.094815727463e-02       2.480225747258e+04 
       2.107956920606e-02       2.475668441263e+04 
       2.121106079346e-02       2.471015886617e+04 
       2.134263359312e-02       2.466272337485e+04 
       2.147428919931e-02       2.461438520691e+04 
       2.160602924503e-02       2.456516602730e+04 
       2.173785540298e-02       2.451509158529e+04 
       2.186976938640e-02       2.446415950096e+04 
       2.200177295002e-02       2.441234522905e+04 
       2.213386789099e-02       2.435981041577e+04 
       2.226605604995e-02       2.430646098026e+04 
       2.239833931192e-02       2.425227370627e+04 
       2.253071960749e-02       2.419737071520e+04 
       2.266319891380e-02       2.414172008346e+04 
       2.279577925570e-02       2.408532804579e+04 
       2.292846270690e-02       2.402818783203e+04 
       2.306125139117e-02       2.397037435001e+04 
       2.319414748354e-02       2.391180570902e+04 
       2.332715321158e-02       2.385264313631e+04 
       2.346027085672e-02       2.379278020441e+04 
       2.359350275556e-02       2.373228859781e+04 
       2.372685130130e-02       2.367115124474e+04 
       2.386031894513e-02       2.360941253876e+04 
       2.399390819777e-02       2.354705047634e+04 
       2.412762163093e-02       2.348417780802e+04 
       2.426146187892e-02       2.342067241697e+04 
       2.439543164029e-02       2.335660941257e+04 
       2.452953367946e-02       2.329196021316e+04 
       2.466377082853e-02       2.322682798275e+04 
       2.479814598899e-02       2.316117316489e+04 
       2.493266213362e-02       2.309504342404e+04 
       2.506732230841e-02       2.302840224426e+04 
       2.520212963448e-02       2.296124526685e+04 
       2.533708731018e-02       2.289364335400e+04 
       2.547219861317e-02       2.282556165438e+04 
       2.560746690259e-02       2.275706617673e+04 
       2.574289562134e-02       2.268816923682e+04 
       2.587848829840e-02       2.261881340093e+04 
       2.601424855124e-02       2.254909598981e+04 
       2.615018008833e-02       2.247889418920e+04 
       2.628628671169e-02       2.240837901017e+04 
       2.642257231958e-02       2.233750993910e+04 
       2.655904090928e-02       2.226625352716e+04 
       2.669569657994e-02       2.219461009930e+04 
       2.683254353554e-02       2.212274947888e+04 
       2.696958608796e-02       2.205044626712e+04 
       2.710682866019e-02       2.197788086161e+04 
       2.724427578962e-02       2.190499779048e+04 
       2.738193213142e-02       2.183183983606e+04 
       2.751980246214e-02       2.175839472410e+04 
       2.765789168337e-02       2.168464529640e+04 
       2.779620482556e-02       2.161069899377e+04 
       2.793474705194e-02       2.153642946946e+04 
       2.807352366270e-02       2.146194224214e+04 
       2.821254009921e-02       2.138718610437e+04 
       2.835180194844e-02       2.131228166227e+04 
       2.849131494763e-02       2.123711851428e+04 
       2.863108498899e-02       2.116178959644e+04 
       2.877111812472e-02       2.108618028123e+04 
       2.891142057220e-02       2.101038268611e+04 
       2.905199871931e-02       2.093448393011e+04 
       2.919285913007e-02       2.085840126841e+04 
       2.933400855045e-02       2.078212486130e+04 
       2.947545391441e-02       2.070569107430e+04 
       2.961720235026e-02       2.062915330072e+04 
       2.975926118717e-02       2.055238603212e+04 
       2.990163796208e-02       2.047560026345e+04 
       3.004434042682e-02       2.039865514717e+04 
       3.018737655555e-02       2.032159000981e+04 
       3.033075455253e-02       2.024438320692e+04 
       3.047448286026e-02       2.016710245843e+04 
       3.061857016788e-02       2.008972787782e+04 
       3.076302542009e-02       2.001223217880e+04 
       3.090785782629e-02       1.993468634605e+04 
       3.105307687032e-02       1.985710189780e+04 
       3.119869232049e-02       1.977937836794e+04 
