# Matter power spectrum P(k) at redshift z=0
# for k=1.04732e-05 to 109.903 h/Mpc,
# number of wavenumbers equal to 812
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047322304298e-05       5.003680436009e+01 
       2.343189338109e-05       1.085642939205e+02 
       3.643657839078e-05       1.659981831876e+02 
       4.952269248234e-05       2.229870420625e+02 
       6.272624189175e-05       2.798961347964e+02 
       7.608414960894e-05       3.369970824690e+02 
       8.963459080298e-05       3.945208747402e+02 
       1.034173432557e-04       4.526794778336e+02 
       1.174741573490e-04       5.116769002999e+02 
       1.318491501861e-04       5.717158516531e+02 
       1.465892284292e-04       6.330023380174e+02 
       1.617445443706e-04       6.957492313804e+02 
       1.773689895574e-04       7.601792845198e+02 
       1.935207298881e-04       8.265278898295e+02 
       2.102627853856e-04       8.950457068650e+02 
       2.276636566873e-04       9.660012514393e+02 
       2.457979984907e-04       1.039683483346e+03 
       2.647473375228e-04       1.116404418631e+03 
       2.846008287666e-04       1.196501730743e+03 
       3.054560383233e-04       1.280341293098e+03 
       3.274197340084e-04       1.368319600632e+03 
       3.506086551528e-04       1.460865916616e+03 
       3.751502207020e-04       1.558443989886e+03 
       4.011831193429e-04       1.661553089731e+03 
       4.288577071052e-04       1.770728075412e+03 
       4.583361173314e-04       1.886538074813e+03 
       4.897919666676e-04       2.009583408563e+03 
       5.234095216884e-04       2.140490160314e+03 
       5.593821785571e-04       2.279901961324e+03 
       5.979101091896e-04       2.428468471138e+03 
       6.391969497673e-04       2.586830226814e+03 
       6.834454594389e-04       2.755599757960e+03 
       7.308521649523e-04       2.935339284821e+03 
       7.816011313996e-04       3.126535748186e+03 
       8.358571512406e-04       3.329574657580e+03 
       8.937588017178e-04       3.544714501749e+03 
       9.554119511679e-04       3.772064333468e+03 
       1.020884358255e-03       4.011566922538e+03 
       1.090201971518e-03       4.262989630298e+03 
       1.163347386751e-03       4.525924786056e+03 
       1.240260673755e-03       4.799799695457e+03 
       1.320842489105e-03       5.083895909977e+03 
       1.404959111573e-03       5.377350077846e+03 
       1.492448831737e-03       5.679242916753e+03 
       1.583129033351e-03       5.988604104383e+03 
       1.676803324968e-03       6.304422627867e+03 
       1.773268191220e-03       6.625688301346e+03 
       1.872318793704e-03       6.951414533992e+03 
       1.973753720878e-03       7.280656156639e+03 
       2.077378634219e-03       7.612522522998e+03 
       2.183008867932e-03       7.946185704546e+03 
       2.290471108311e-03       8.280885848070e+03 
       2.399604311519e-03       8.615931279101e+03 
       2.510260024290e-03       8.950699018384e+03 
       2.622302260319e-03       9.284630792805e+03 
       2.735607064208e-03       9.617230050811e+03 
       2.850061870522e-03       9.948058059057e+03 
       2.965564741838e-03       1.027672643479e+04 
       3.082023548467e-03       1.060289815678e+04 
       3.199355134867e-03       1.092627628065e+04 
       3.317484503624e-03       1.124660231834e+04 
       3.436344037064e-03       1.156365559059e+04 
       3.555872768442e-03       1.187724205222e+04 
       3.676015708907e-03       1.218719648038e+04 
       3.796723232322e-03       1.249338002254e+04 
       3.917950517341e-03       1.279567112074e+04 
       4.039657044373e-03       1.309397193681e+04 
       4.161806144037e-03       1.338819681091e+04 
       4.284364593163e-03       1.367828166670e+04 
       4.407302254190e-03       1.396416593018e+04 
       4.530591753836e-03       1.424581304390e+04 
       4.654208197071e-03       1.452318810110e+04 
       4.778128912667e-03       1.479626168389e+04 
       4.902333226899e-03       1.506503269181e+04 
       5.026802262268e-03       1.532948122729e+04 
       5.151518758411e-03       1.558960720605e+04 
       5.276466912685e-03       1.584542205104e+04 
       5.401632238154e-03       1.609692881029e+04 
       5.527001436979e-03       1.634413780383e+04 
       5.652562287434e-03       1.658707113937e+04 
       5.778303542980e-03       1.682573600232e+04 
       5.904214842013e-03       1.706018083851e+04 
       6.030286627064e-03       1.729044456960e+04 
       6.156510072372e-03       1.751650811573e+04 
       6.282877018894e-03       1.773835312804e+04 
       6.409379915907e-03       1.795615692894e+04 
       6.536011768470e-03       1.816985268224e+04 
       6.662766090108e-03       1.837937903336e+04 
       6.789636860126e-03       1.858487815463e+04 
       6.916618485080e-03       1.878646040761e+04 
       7.043705763926e-03       1.898408950311e+04 
