# Matter power spectrum P(k) at redshift z=0
# for k=1.03068e-05 to 108.052 h/Mpc,
# number of wavenumbers equal to 814
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.030680750951e-05       5.231047230862e+01 
       2.300851568536e-05       1.132559016408e+02 
       3.575366586725e-05       1.730579176723e+02 
       4.857560011186e-05       2.323843309856e+02 
       6.150819689367e-05       2.916091099150e+02 
       7.458616487219e-05       3.510087641093e+02 
       8.784534580483e-05       4.108172462413e+02 
       1.013230305314e-04       4.712482772259e+02 
       1.150582919869e-04       5.325067232436e+02 
       1.290923392314e-04       5.947953901708e+02 
       1.434688964973e-04       6.583196577299e+02 
       1.582346112087e-04       7.232910415199e+02 
       1.734394947856e-04       7.899301643607e+02 
       1.891373997428e-04       8.584694439975e+02 
       2.053865360464e-04       9.291556278106e+02 
       2.222500287938e-04       1.002252285357e+03 
       2.397965178950e-04       1.078042279031e+03 
       2.581007983621e-04       1.156830262613e+03 
       2.772444968410e-04       1.238945166782e+03 
       2.973167758584e-04       1.324742653313e+03 
       3.184150515916e-04       1.414607478587e+03 
       3.406457034339e-04       1.508955640855e+03 
       3.641247439009e-04       1.608236186960e+03 
       3.889784052240e-04       1.712932476491e+03 
       4.153435842542e-04       1.823562633076e+03 
       4.433680703614e-04       1.940678903773e+03 
       4.732104628082e-04       2.064865480010e+03 
       5.050396664706e-04       2.196734400175e+03 
       5.390338409116e-04       2.336919020339e+03 
       5.753786723049e-04       2.486064605670e+03 
       6.142648466296e-04       2.644815648522e+03 
       6.558846328500e-04       2.813799691668e+03 
       7.004275428668e-04       2.993607708781e+03 
       7.480751244029e-04       3.184771485978e+03 
       7.989950611462e-04       3.387738993881e+03 
       8.533348898586e-04       3.602849183691e+03 
       9.112157747092e-04       3.830308222441e+03 
       9.727268743714e-04       4.070169408080e+03 
       1.037920865324e-03       4.322319145268e+03 
       1.106811122151e-03       4.586470739561e+03 
       1.179370899079e-03       4.862167497380e+03 
       1.255534628754e-03       5.148794802256e+03 
       1.335201198917e-03       5.445595302343e+03 
       1.418238838954e-03       5.751673957814e+03 
       1.504491092406e-03       6.066120143236e+03 
       1.593783292360e-03       6.387938879969e+03 
       1.685928991763e-03       6.716113944264e+03 
       1.780735905931e-03       7.049633706591e+03 
       1.878011065572e-03       7.387512339406e+03 
       1.977565022746e-03       7.728806585517e+03 
       2.079215075621e-03       8.072628126044e+03 
       2.182787568728e-03       8.418151094516e+03 
       2.288119381688e-03       8.764616672256e+03 
       2.395058745788e-03       9.111334110243e+03 
       2.503465531877e-03       9.457679388396e+03 
       2.613211142794e-03       9.803093598699e+03 
       2.724178125598e-03       1.014707757487e+04 
       2.836259598109e-03       1.048918977137e+04 
       2.949358563880e-03       1.082904130446e+04 
       3.063387171476e-03       1.116628849649e+04 
       3.178265958550e-03       1.150063318992e+04 
       3.293923108829e-03       1.183181315327e+04 
       3.410293740564e-03       1.215960256468e+04 
       3.527319237765e-03       1.248380570130e+04 
       3.644946630342e-03       1.280425421190e+04 
       3.763128025538e-03       1.312080503984e+04 
       3.881820090527e-03       1.343333324850e+04 
       4.000983584409e-03       1.374174289058e+04 
       4.120582936798e-03       1.404594160905e+04 
       4.240585869679e-03       1.434586493939e+04 
       4.360963058916e-03       1.464145046706e+04 
       4.481687831825e-03       1.493265747530e+04 
       4.602735897269e-03       1.521945215488e+04 
       4.724085104971e-03       1.550180764015e+04 
       4.845715230949e-03       1.577971510588e+04 
       4.967607786252e-03       1.605315747454e+04 
       5.089745846422e-03       1.632213404858e+04 
       5.212113899376e-03       1.658665471277e+04 
       5.334697709639e-03       1.684672177922e+04 
       5.457484197071e-03       1.710235175759e+04 
       5.580461328467e-03       1.735355793925e+04 
       5.703618020552e-03       1.760035987467e+04 
       5.826944053100e-03       1.784278625883e+04 
       5.950429991036e-03       1.808088793918e+04 
       6.074067114502e-03       1.831465075332e+04 
       6.197847356021e-03       1.854405875893e+04 
       6.321763243950e-03       1.876925474984e+04 
       6.445807851555e-03       1.899022278345e+04 
       6.569974751077e-03       1.920690209167e+04 
       6.694257972257e-03       1.941938610416e+04 
       6.818651964843e-03       1.962781606138e+04 
       6.943151564651e-03       1.983216471933e+04 
       7.067751962819e-03       2.003245783475e+04 
       7.192448677902e-03       2.022873027718e+04 
       7.317237530530e-03       2.042103325549e+04 
       7.442114620369e-03       2.060940233126e+04 
       7.567076305139e-03       2.079386550823e+04 
       7.692119181491e-03       2.097448168387e+04 
       7.817240067568e-03       2.115127794966e+04 
       7.942435987069e-03       2.132428551082e+04 
       8.067704154677e-03       2.149355509495e+04 
       8.193041962730e-03       2.165912687959e+04 
       8.318446969004e-03       2.182104242581e+04 
       8.443916885505e-03       2.197933057665e+04 
       8.569449568187e-03       2.213403545520e+04 
       8.695043007503e-03       2.228520304768e+04 
       8.820695319713e-03       2.243285809695e+04 
       8.946404738882e-03       2.257704339945e+04 
       9.072169609517e-03       2.271782530022e+04 
       9.197988379763e-03       2.285520945796e+04 
       9.323859595141e-03       2.298923813005e+04 
       9.449781892752e-03       2.311995681578e+04 
       9.575753995929e-03       2.324741390017e+04 
       9.701774709285e-03       2.337160943968e+04 
       9.827842914137e-03       2.349262180521e+04 
       9.953957564263e-03       2.361045673870e+04 
       1.008011768197e-02       2.372517922777e+04 
       1.020632235446e-02       2.383679802465e+04 
       1.033257073043e-02       2.394536039432e+04 
       1.045886201695e-02       2.405090452253e+04 
       1.058519547657e-02       2.415345734449e+04 
       1.071157042456e-02       2.425304415135e+04 
       1.083798622644e-02       2.434974924284e+04 
       1.096444229564e-02       2.444354680677e+04 
       1.109093809129e-02       2.453449342664e+04 
       1.121747311626e-02       2.462263149585e+04 
       1.134404691522e-02       2.470797916557e+04 
       1.147065907290e-02       2.479058057005e+04 
       1.159730921251e-02       2.487046201188e+04 
       1.172399699415e-02       2.494766194866e+04 
       1.185072211347e-02       2.502220929249e+04 
       1.197748430031e-02       2.509411607009e+04 
       1.210428331751e-02       2.516342727293e+04 
       1.223111895975e-02       2.523021378311e+04 
       1.235799105252e-02       2.529445728402e+04 
       1.248489945112e-02       2.535618417392e+04 
       1.261184403977e-02       2.541545924300e+04 
       1.273882473077e-02       2.547229566819e+04 
       1.286584146367e-02       2.552669916928e+04 
       1.299289420463e-02       2.557873997582e+04 
       1.311998294568e-02       2.562843632086e+04 
       1.324710770413e-02       2.567579226240e+04 
       1.337426852200e-02       2.572086740657e+04 
       1.350146546552e-02       2.576367578655e+04 
       1.362869862459e-02       2.580425031500e+04 
       1.375596811244e-02       2.584261189665e+04 
       1.388327406511e-02       2.587878161014e+04 
       1.401061664120e-02       2.591280157722e+04 
       1.413799602147e-02       2.594471331251e+04 
       1.426541240858e-02       2.597450863696e+04 
       1.439286602682e-02       2.600223439037e+04 
       1.452035712187e-02       2.602790719035e+04 
       1.464788596061e-02       2.605156232903e+04 
       1.477545283096e-02       2.607321640046e+04 
       1.490305804169e-02       2.609292463029e+04 
       1.503070192233e-02       2.611065467450e+04 
       1.515838482307e-02       2.612648877601e+04 
       1.528610711468e-02       2.614042534655e+04 
       1.541386918846e-02       2.615250768373e+04 
       1.554167145619e-02       2.616271826834e+04 
       1.566951435019e-02       2.617113476803e+04 
       1.579739832324e-02       2.617775158688e+04 
       1.592532384870e-02       2.618259734599e+04 
       1.605329142050e-02       2.618568718857e+04 
       1.618130155325e-02       2.618706844620e+04 
       1.630935478231e-02       2.618675240470e+04 
       1.643745166393e-02       2.618474381983e+04 
       1.656559277532e-02       2.618110345185e+04 
       1.669377871487e-02       2.617582126209e+04 
       1.682201010225e-02       2.616895370167e+04 
       1.695028757865e-02       2.616048658680e+04 
       1.707861180690e-02       2.615045747394e+04 
       1.720698347176e-02       2.613888524269e+04 
       1.733540328011e-02       2.612579739691e+04 
       1.746387196122e-02       2.611124524288e+04 
       1.759239026697e-02       2.609522525174e+04 
       1.772095897220e-02       2.607771183588e+04 
       1.784957887495e-02       2.605879657849e+04 
       1.797825079679e-02       2.603847523115e+04 
       1.810697558318e-02       2.601675995164e+04 
       1.823575410378e-02       2.599369691431e+04 
       1.836458725280e-02       2.596927719995e+04 
       1.849347594946e-02       2.594353065990e+04 
       1.862242113828e-02       2.591650875605e+04 
       1.875142378959e-02       2.588816257807e+04 
       1.888048489991e-02       2.585861731609e+04 
       1.900960549241e-02       2.582777498526e+04 
       1.913878661737e-02       2.579573715853e+04 
       1.926802935269e-02       2.576247076098e+04 
       1.939733480437e-02       2.572806921168e+04 
       1.952670410704e-02       2.569248394608e+04 
       1.965613842452e-02       2.565574813305e+04 
       1.978563895033e-02       2.561787779290e+04 
       1.991520690833e-02       2.557892495109e+04 
       2.004484355328e-02       2.553890109599e+04 
       2.017455017147e-02       2.549776157400e+04 
       2.030432808139e-02       2.545562930974e+04 
       2.043417863432e-02       2.541242248980e+04 
